Date,Open,High,Low
20150918,1128.7,1142.7,1128.5,1139.3,1
20150920,1139.3,1140.8,1136.8,1138.2,1
20150921,1138.2,1140.8,1111.9,1134.4,1
20150922,1134.4,1137.3,1122.0,1125.2,1
20150923,1125.2,1136.9,1107.5,1136.0,1
20150924,1136.0,1157.8,1134.5,1148.0,1
20150925,1148.0,1149.7,1141.7,1146.3,1
20150927,1146.3,1149.3,1144.7,1146.7,1
20150928,1146.7,1147.4,1129.0,1133.2,1
20150929,1133.2,1135.8,1124.0,1126.4,1
20150930,1126.4,1128.1,1112.5,1115.7,1
20151001,1115.7,1119.9,1106.2,1112.8,1
20151002,1112.8,1142.3,1105.3,1138.7,1
20151004,1138.7,1140.5,1137.2,1138.3,1
20151005,1138.3,1146.6,1131.0,1136.9,1
20151006,1136.9,1152.4,1135.0,1149.4,1
20151007,1149.4,1154.7,1135.7,1144.5,1
20151008,1144.5,1152.8,1137.4,1145.9,1
20151009,1145.9,1160.8,1144.5,1157.4,1
20151011,1157.4,1160.0,1155.9,1158.4,1
20151012,1158.4,1173.2,1154.0,1155.0,1
20151013,1155.0,1175.9,1152.8,1173.5,1
20151014,1173.5,1191.1,1164.25,1185.0,1
20151015,1185.0,1192.8,1175.8,1180.4,1
20151016,1180.4,1187.9,1153.6,1184.5,1
20151018,1184.5,1184.5,1162.1,1173.1,1
20151019,1173.1,1182.8,1168.6,1170.0,1
20151020,1170.0,1182.3,1169.6,1178.5,1
20151021,1178.5,1179.9,1164.8,1167.5,1
20151022,1167.5,1175.5,1158.6,1170.4,1
20151023,1170.4,1180.9,1160.2,1164.2,1
20151025,1164.2,1166.8,1157.3,1165.8,1
20151026,1165.8,1171.1,1157.3,1165.6,1
20151027,1165.6,1172.6,1162.1,1169.3,1
20151028,1169.3,1184.6,1153.7,1161.9,1
20151029,1161.9,1164.0,1142.9,1148.5,1
20151030,1148.5,1151.3,1140.4,1143.0,1
20151101,1143.0,1143.4,1134.3,1142.2,1
20151102,1142.2,1144.2,1132.8,1138.8,1
20151103,1138.8,1139.4,1115.3,1123.1,1
20151104,1123.1,1123.1,1107.2,1111.5,1
20151105,1111.5,1113.8,1103.9,1109.2,1
